Key	Th_Name	Th_Description	En_Name	En_Description
login	ล็อกอิน		Login	
ITEM_CONSUME_DATA	----------------------------------------	----------------------------------------	----------------------------------------	----------------------------------------
item_seed	เมล็ด	เมล็ดพันธ์ต้นไม้ ใช้สำหรับปลูกต้นไม้ บนเกาะสวรรค์~ มาสรรค์สร้างเกาะของเรา ให้เขียวขจีกันเถอะ	Seed	Description for seed
item_gacha	กล่องมหัศจรรย์	กล่องของขัวญมหัศจรรย์ ภายในเต็มไปด้วยของรางวัลมากมากให้ลุ้นตื่นเต้น อดใจไม่ไหวแล้ว มาดูกันสิว่าวันนี้คุณจะได้รับอะไร		
item_buff_001	บัวรดน้ำ	บัวรดน้ำ ใช้สำหรับรดน้ำต้นไม้ บนเกาะสวรรค์ได้ทันที! โดยไม่ต้องรอเวลา	Watering	Description for Buff001
item_buff_002	ปุ๋ย	ปุ๋ย ใช้สำหรับบำรุงต้นไม้ ทำให้ต้นไม้ โตได้รวดเร็วขึ้น! ต้นไม้ที่โตเต็มวัย จะได้รับไอเทมเพื่อส่งภารกิจ	Feed	Description for Buff002
item_buff_003	ฟ็อกกี้	บำรุงต้นไม้ให้สมบูณ์ขึ้น ทำให้ต้นไม้มอบคาร์บอนเครดิตสูงขึ้น เมื่อกลับมารดน้ำ		
item_buff_004	เทเลพอร์ต	เทเลพอร์ต เคลื่อนย้ายอย่างฉับพลันไปยังพื้นที่เป้าหมายที่เลือก		
item_buff_005	อุปกรณ์ค้นหา	อุปกรณ์ช่วยค้นหา กิจกรรมอนุรักษ์ ทีซ่อนอยู่ในเมืองรอค่อยนักอนุรักษ์ตัวยงอย่างคุณอยู่		
item_tree_001	ยูคาลิปตัส	ปลูกต้นยูคาลิปตัส ช่วยปรับปรุงดินที่เสื่อมสภาพ ให้กลับมามีคุณภาพที่ดียิ่งขึ้น!	Eucalyptus	Description for Tree001
item_tree_002	สนประดิพัทธ์	ปลูกต้นสนประดิพัทธ์ ช่วยเป็นแนวกันลม ให้กับเกาะสวรรค์ได้อย่างดี และยังช่วยฟื้นฟูพื้นที่ป่าเสื่อมโทรม ให้กลับมาดีขึ้นอีกด้วย!	Mountain Ru	Description for Tree002
item_tree_003	ไผ่	ปลูกต้นไผ่ รากฝอยของไผ่ ที่ประสานกันอย่างเหนียวแน่น จะไปช่วยยึดดินตามไหล่เขา และริมห้วยไม่ให้พังทะลาย นอกจากนี้หน่อไม้ของไผ่ ยังสามารถนำมาทำอาหารกินได้อีกด้วยนะ!	Bamboo	Description for Tree003
item_tree_004	กระถินณรงค์	ปลูกกระถินณรงค์ ช่วยฟื้นฟูพื้นดินที่มีสภาพเสื่อมโทรม ไม้ของกระถินณรงค์ ยังสามารถนำไม้มาใช้เป็นฟืน เพื่อผลิตเชื้อเพลิงได้อีกด้วยนะ!	Northern Black Wattle	Description for Tree004
item_tree_005	สนทะเล	ปลูกสนทะเล เพื่อเป็นรั้ว ให้กับเกาะสวรรค์ หรือจะปลูก เพื่อช่วยแก้ปัญหาการใช้ที่ดินเสื่อมโทรม ให้เป็นประโยชน์ก็ได้นะ!	Australian Pine	Description for Tree005
item_tree_006	ตะกู	ปลูกต้นตะกู โตเร็วเลี้ยงง่าย เป็นต้นไม้ที่มีคุณค่าทางเศรษฐกิจ และสามารถนำเนื้อไม้ไปแปรรูป เพื่อใช้ประโยชน์ได้หลากหลาย	Bur-flower Tree	Description for Tree006
item_tree_007	สะเดา	ปลูกสะเดา ผล และใบของสะเดา สามารถนำมาแปรรูป เป็นยาฆ่าแมลงได้ เป็นมิตรต่อผู้ใช้ ผู้บริโภค และสิ่งแวดล้อม	Siamese Neem Tree	Description for Tree007
item_tree_008	มะฮอกกานี	ปลูกมะฮอกกานี เพื่อสร้างร่มเงาอันร่มรื่น ให้กับเกาะสวรรค์ นอกจากนี้ยังใช้ในการปลูก เป็นป่าทดแทนได้อีกด้วยนะ!	Mahogany	Description for Tree008
ITEM_COSTUME_DATA	----------------------------------------	----------------------------------------	----------------------------------------	----------------------------------------
cos_eye_001	ตา001	ตา001	Eye 1	Eye 1
cos_eye_002	ตา002	ตา002	Eye 2	Eye 2
cos_eye_003	ตา003	ตา003	Eye 3	Eye 3
cos_eye_004	ตา004	ตา004	Eye 4	Eye 4
cos_eye_005	ตา005	ตา005	Eye 5	Eye 5
cos_eye_006	ตา006	ตา006	Eye 6	Eye 6
cos_eyebrow_001	คิ้ว001	คิ้ว001	Eyebrow 1	Eyebrow 1
cos_eyebrow_002	คิ้ว002	คิ้ว002	Eyebrow 2	Eyebrow 2
cos_eyebrow_003	คิ้ว003	คิ้ว003	Eyebrow 3	Eyebrow 3
cos_eyebrow_004	คิ้ว004	คิ้ว004	Eyebrow 4	Eyebrow 4
cos_eyebrow_005	คิ้ว005	คิ้ว005	Eyebrow 5	Eyebrow 5
cos_eyebrow_006	คิ้ว006	คิ้ว006	Eyebrow 6	Eyebrow 6
cos_mouth_001	ปาก001	ปาก001	Mouth 1	Mouth 1
cos_mouth_002	ปาก002	ปาก002	Mouth 2	Mouth 2
cos_mouth_003	ปาก003	ปาก003	Mouth 3	Mouth 3
cos_mouth_004	ปาก004	ปาก004	Mouth 4	Mouth 4
cos_mouth_005	ปาก005	ปาก005	Mouth 5	Mouth 5
cos_mouth_006	ปาก006	ปาก006	Mouth 6	Mouth 6
cos_mouth_007	ปาก007	ปาก007	Mouth 7	Mouth 7
cos_mouth_008	ปาก008	ปาก008	Mouth 8	Mouth 8
cos_mouth_009	ปาก009	ปาก009	Mouth 9	Mouth 9
cos_hair_001	ทรงผม001	ทรงผม001	Hair 1	Hair 1
cos_hair_002	ทรงผม002	ทรงผม002	Hair 2	Hair 2
cos_hair_003	ทรงผม003	ทรงผม003	Hair 3	Hair 3
cos_hair_004	ทรงผม004	ทรงผม004	Hair 4	Hair 4
cos_hair_005	ทรงผม005	ทรงผม005	Hair 5	Hair 5
cos_hair_006	ทรงผม006	ทรงผม006	Hair 6	Hair 6
cos_hair_007	ทรงผม007	ทรงผม007	Hair 7	Hair 7
cos_hair_008	ทรงผม008	ทรงผม008	Hair 8	Hair 8
cos_hat_001	หมวกแก๊ป	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!	Cap	Hat 1
cos_hat_002	หมวกบักเก็ต	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!	Bucket Hat	Hat 2
cos_hat_003	หมวกเบเร่ต์	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!	Beret	Hat 3
cos_hat_004	หูฟัง	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!	Headphone	Hat 4
cos_hat_005	โบว์คาดผม	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!	Bow	Hat 5
cos_hat_006	หมวก	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!	Hat 6	Hat 6
cos_hat_007	หมวก	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_hat_008	หมวก	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_hat_009	หมวก	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_hat_010	หมวก	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_hat_011	หมวก	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_hat_012	หมวก	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_hat_013	หมวก	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_hat_014	หมวก	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_hat_015	หมวก	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_hat_016	หมวก	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_hat_017	หมวก	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_hat_018	หมวก	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_hat_019	หมวก	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_hat_020	หมวก	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_hat_021	หมวก	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_hat_022	หมวก	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_man_shirt_001	เสื้อยืด	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!	T-shirt	Man Shirt 1
cos_man_shirt_002	เสื้อฮู้ด	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!	Hoodies	Man Shirt 2
cos_man_shirt_003	เสื้อสูท	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!	Suit	Man Shirt 3
cos_man_shirt_004	เสื้อ	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_man_shirt_005	เสื้อ	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_man_shirt_006	เสื้อ	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_man_shirt_007	เสื้อ	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_man_shirt_008	เสื้อ	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_man_shirt_009	เสื้อ	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_man_shirt_010	เสื้อ	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_man_shirt_011	เสื้อ	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_man_shirt_012	เสื้อ	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_man_shirt_013	เสื้อ	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_man_shirt_014	เสื้อ	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_man_shirt_015	เสื้อ	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_man_shirt_016	เสื้อ	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_man_shirt_017	เสื้อ	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_man_shirt_018	เสื้อ	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_man_shirt_019	เสื้อ	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_man_shirt_020	เสื้อ	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_woman_shirt_001	เสื้อยืด	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!	T-shirt	Woman Shirt 1
cos_woman_shirt_002	เสื้อฮู้ด	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!	Hoodies	Woman Shirt 2
cos_woman_shirt_003	เสื้อคาร์ดิแกน	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!	Cardigan	Woman Shirt 3
cos_woman_shirt_004	เสื้อ	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_woman_shirt_005	เสื้อ	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_woman_shirt_006	เสื้อ	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_woman_shirt_007	เสื้อ	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_woman_shirt_008	เสื้อ	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_woman_shirt_009	เสื้อ	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_woman_shirt_010	เสื้อ	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_woman_shirt_011	เสื้อ	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_woman_shirt_012	เสื้อ	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_woman_shirt_013	เสื้อ	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_woman_shirt_014	เสื้อ	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_woman_shirt_015	เสื้อ	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_woman_shirt_016	เสื้อ	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_woman_shirt_017	เสื้อ	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_woman_shirt_018	เสื้อ	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_trousers_001	กางเกงสแล็ค	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!	Slacks	Trousers 1
cos_trousers_002	กางเกงขาสั้น	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!	Shorts	Trousers 2
cos_trousers_003	กางเกงวอร์ม	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!	Jogger Pants	Trousers 3
cos_trousers_004	กระโปรงพลีท	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!	Pleated Skirt	Trousers 4
cos_trousers_005	กางเกง	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_trousers_006	กางเกง	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_trousers_007	กางเกง	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_trousers_008	กางเกง	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_trousers_009	กางเกง	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_trousers_010	กางเกง	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_trousers_011	กางเกง	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_trousers_012	กางเกง	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_trousers_013	กางเกง	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_trousers_014	กางเกง	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_trousers_015	กางเกง	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_trousers_016	กางเกง	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_trousers_017	กางเกง	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_trousers_018	กางเกง	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_trousers_019	กางเกง	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_trousers_020	กางเกง	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_trousers_021	กางเกง	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_shoe_001	รองเท้า Slip-On สีน้ำตาล	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!	Slip-On Brown	Shoe 1
cos_shoe_002	รองเท้า Slip-On สีเทา	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!	Slip-On Gray	Shoe 2
cos_shoe_003	รองเท้าแตะ	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!	Flip-Flops	Shoe 3
cos_shoe_004	รองเท้าบูท	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!	Boots	Shoe 4
cos_shoe_005	รองเท้าสลิปเปอร์	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!	Slipper	Shoe 5
cos_shoe_006	รองเท้า	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_shoe_007	รองเท้า	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_shoe_008	รองเท้า	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_shoe_009	รองเท้า	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_shoe_010	รองเท้า	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_bag_001	กระเป๋าเป้	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!	Bag	Bag 1
cos_bag_002	กระเป๋าเป้	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!	Wing	Bag 2
cos_bag_003	กระเป๋าเป้	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_bag_004	กระเป๋าเป้	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_bag_005	กระเป๋าเป้	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_bag_006	กระเป๋าเป้	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_bag_007	กระเป๋าเป้	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_bag_008	กระเป๋าเป้	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_bag_009	กระเป๋าเป้	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_bag_010	ค้อน	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_bag_011	ปีก	เสื้อผ้าสำหรับนักอนุรักษ์ มาแต่งตัวกันอย่างมีสไตล์กันเถอะ!		
cos_acc_001	แว่นตา	ประดับติดมือ001	Hand Accessories 1	Hand Accessories 1
cos_acc_002	แว่นตา	ประดับติดมือ002	Hand Accessories 2	Hand Accessories 2
cos_acc_003	แว่นตา	ประดับติดมือ003	Hand Accessories 3	Hand Accessories 3
cos_acc_004	แว่นตา	ประดับติดมือ004		
cos_acc_005	แว่นตา	ประดับติดมือ005		
cos_acc_006	แว่นตา	ประดับติดมือ006		
cos_acc_007	ต่างหู	ประดับติดมือ007		
cos_acc_008	ต่างหู	ประดับติดมือ008		
cos_acc_009	นาฬิกา	ประดับติดมือ009		
cos_acc_010	นาฬิกา	ประดับติดมือ010		
ITEM_TREE_DATA	----------------------------------------	----------------------------------------	----------------------------------------	----------------------------------------
tree_001	ยูคาลิปตัส	ปลูกต้นยูคาลิปตัส ช่วยปรับปรุงดินที่เสื่อมสภาพ ให้กลับมามีคุณภาพที่ดียิ่งขึ้น!	Eucalyptus	Description for Tree 001
tree_002	สนประดิพัทธ์	ปลูกต้นสนประดิพัทธ์ ช่วยเป็นแนวกันลม ให้กับเกาะสวรรค์ได้อย่างดี และยังช่วยฟื้นฟูพื้นที่ป่าเสื่อมโทรม ให้กลับมาดีขึ้นอีกด้วย!	Mountain Ru	Description for Tree 002
tree_003	ไผ่	ปลูกต้นไผ่ รากฝอยของไผ่ ที่ประสานกันอย่างเหนียวแน่น จะไปช่วยยึดดินตามไหล่เขา และริมห้วยไม่ให้พังทะลาย นอกจากนี้หน่อไม้ของไผ่ ยังสามารถนำมาทำอาหารกินได้อีกด้วยนะ!	Bamboo	Description for Tree 003
tree_004	กระถินณรงค์	ปลูกกระถินณรงค์ ช่วยฟื้นฟูพื้นดินที่มีสภาพเสื่อมโทรม ไม้ของกระถินณรงค์ ยังสามารถนำไม้มาใช้เป็นฟืน เพื่อผลิตเชื้อเพลิงได้อีกด้วยนะ!	Northern Black Wattle	Description for Tree 004
tree_005	สนทะเล	ปลูกสนทะเล เพื่อเป็นรั้ว ให้กับเกาะสวรรค์ หรือจะปลูก เพื่อช่วยแก้ปัญหาการใช้ที่ดินเสื่อมโทรม ให้เป็นประโยชน์ก็ได้นะ!	Australian Pine	Description for Tree 005
